number of subscribers
date, pypy-dev, pypy-svn
2005/06/03, 198, 35
2005/06/04, 198, 35
2005/06/05, 198, 35
2005/06/07, 198, 35
2005/06/08, 199, 35
2005/06/09, 199, 35
2005/06/10, 200, 35
2005/06/11, 202, 35
2005/06/12, 202, 35
2005/06/13, 203, 35
2005/06/14, 202, 35
2005/06/16, 203, 35
2005/06/18, 204, 35
2005/06/19, 204, 35
2005/06/20, 204, 35
2005/06/21, 205, 35
2005/06/22, 206, 35
2005/06/23, 206, 35
2005/06/24, 206, 35
2005/06/25, 206, 35
2005/06/26, 206, 35
2005/06/27, 207, 35
2005/06/28, 207, 35
2005/06/29, 207, 35
2005/06/30, 208, 35
2005/07/01, 208, 36
2005/07/02, 209, 36
2005/07/03, 209, 36
2005/07/04, 209, 36
2005/07/05, 209, 36
2005/07/06, 210, 36
2005/07/08, 210, 36
2005/07/09, 210, 36
2005/07/10, 211, 36
2005/07/11, 211, 36
2005/07/12, 211, 37
2005/07/14, 211, 37
2005/07/15, 212, 37
2005/07/16, 212, 37
2005/07/18, 212, 37
2005/07/19, 213, 37
2005/07/20, 213, 37
2005/07/21, 213, 37
2005/07/22, 213, 37
2005/07/23, 214, 37
2005/07/24, 214, 37
2005/07/25, 214, 37
2005/07/26, 214, 37
2005/07/27, 214, 37
2005/07/28, 214, 37
2005/07/30, 214, 37
2005/08/01, 213, 37
2005/08/02, 214, 37
2005/08/03, 214, 37
2005/08/04, 214, 37
2005/08/05, 214, 37
2005/08/06, 215, 37
2005/08/07, 215, 37
2005/08/08, 215, 37
2005/08/09, 216, 38
2005/08/11, 215, 38
2005/08/12, 215, 38
2005/08/15, 215, 37
2005/08/16, 216, 37
2005/08/17, 216, 37
2005/08/18, 217, 37
2005/08/20, 217, 37
2005/08/21, 217, 37
2005/08/22, 217, 37
2005/08/23, 217, 37
2005/08/24, 217, 37
2005/08/25, 217, 37
2005/08/26, 217, 37
2005/08/27, 217, 37
2005/08/28, 217, 37
2005/08/29, 217, 37
2005/08/30, 217, 37
2005/08/31, 218, 37
2005/09/01, 218, 37
2005/09/02, 219, 38
2005/09/04, 219, 38
